/////////////////////
/// CORE ITEM DATA //
/////////////////////

//Start by parsing this in your map/dictionary to parse the other data.
//ID|Item Name|Rarity|Properties|Category|Base Color|Overlay Color|Hits to break|Growtime in seconds|Clothing Type (None if its not a clothing, specified in category)

0|Blank|1|NoSeed, Dropless, Beta, Mod, Untradable|Foreground_Block|690000|690000|4|31|None
3745|Shark-Tooth Necklace Seed|999|NoSeed|Seed|000000|000000|20|0|None
3746|Firefin|999|NoSeed, Dropless|Fish|FE9B2A|F2191A|6|3600|None
3747|Firefin Seed|999|NoSeed|Seed|000000|000000|20|0|None
3748|Bone Spikes|999|NoSeed, Dropless|Deadly_Block|E6F0E9|4D7B5A|6|3600|None
3749|Bone Spikes Seed|999|NoSeed|Seed|000000|000000|20|0|None
3750|Ghost Charm|999|Wrenchable, NoSeed, Permanent, Dropless, WorldLock, AutoPickup|Toggleable_Foreground|696969|002F51|30|3600|None
3751|Ghost Charm Seed|999|NoSeed|Seed|000000|000000|20|0|None
3752|Steam Funnel|49|MultiFacing|Steam_Block|B2BC97|F1A663|7|119119|None
3753|Steam Funnel Seed|49|0|Seed|000000|000000|20|0|None
3754|Steam Funnel - Up|58|0|Steam_Block|B2BC97|F1A663|7|196852|None
3755|Steam Funnel - Up Seed|58|0|Seed|000000|000000|20|0|None
3756|Steam Funnel - Down|49|0|Steam_Block|B2BC97|F1A663|7|119119|None
3757|Steam Funnel - Down Seed|49|0|Seed|000000|000000|20|0|None
3758|B.O.O. Sign|999|Wrenchable, NoSeed, Dropless|Sign|64CDA0|FFFFFF|6|3600|None
3759|B.O.O. Sign Seed|999|NoSeed|Seed|000000|000000|20|0|None
3760|Data Bedrock|1|NoSeed, Dropless, Mod|Bedrock|4E4452|AD9AB2|4|31|None
3761|Data Bedrock Seed|1|NoSeed, Mod|Seed|000000|000000|20|0|None
3762|Shark Tooth|999|NoSeed, Dropless, Holiday|Consummable|F1EFD5|CFC970|3|3600|None
3763|Shark Tooth Seed|999|NoSeed, Holiday|Seed|000000|000000|20|0|None
3764|Atomic Fireball|999|MultiFacing, NoSeed, Dropless|Pain_Block|FFE50D|FF120D|6|3600|None
3765|Atomic Fireball Seed|999|NoSeed|Seed|000000|000000|20|0|None
3766|Steam Crossover|51|MultiFacing|Steam_Block|B2BC97|F1A663|7|134181|None
3767|Steam Crossover Seed|51|0|Seed|000000|000000|20|0|None
3768|Steam Crank|90|Wrenchable|Steam_Block|99A676|E3E3E3|7|731700|None
3769|Steam Crank Seed|90|0|Seed|000000|000000|20|0|None
3770|Steam Lamp|100|NoSeed, Dropless|Foreground_Block|2D8A9F|FFE33F|5|1003000|None
3771|Steam Lamp Seed|100|NoSeed|Seed|000000|000000|20|0|None
3772|Steam Spikes|8|0|Toggleable_Deadly_Block|E08B4F|E6E6E6|5|752|None
3773|Steam Spikes Seed|8|0|Seed|000000|000000|20|0|None
3774|No-Face|999|NoSeed, Dropless|Clothing|D9D9D9|808080|0|3600|Face
3775|No-Face Seed|999|NoSeed|Seed|000000|000000|20|0|None
3776|Purple Djellaba|999|NoSeed, Dropless|Clothing|7512C0|E6C5FF|0|3600|Shirt
3777|Purple Djellaba Seed|999|NoSeed|Seed|000000|000000|20|0|None
3778|Yellow Djellaba|999|NoSeed, Dropless|Clothing|E9C609|FFFEF3|0|3600|Shirt
3779|Yellow Djellaba Seed|999|NoSeed|Seed|000000|000000|20|0|None
3780|Green Djellaba|999|NoSeed, Dropless|Clothing|2B8975|DDFFD3|0|3600|Shirt
3781|Green Djellaba Seed|999|NoSeed|Seed|000000|000000|20|0|None
3782|Mini Blocks|4|0|Foreground_Block|EAEAEA|868686|6|184|None
3783|Mini Blocks Seed|4|0|Seed|000000|000000|20|0|None
3784|Teeny Blocks|4|0|Foreground_Block|EAEAEA|868686|4|184|None
3785|Teeny Blocks Seed|4|0|Seed|000000|000000|20|0|None
3786|Jigsaw Wallpaper|20|0|Background_Block|D9924D|55B756|6|8600|None
3787|Jigsaw Wallpaper Seed|20|0|Seed|000000|000000|20|0|None
3788|Riding Broomstick|999|NoSeed, Dropless|Clothing|B06D16|EAE09A|0|3600|Feet
3789|Riding Broomstick Seed|999|NoSeed|Seed|000000|000000|20|0|None
3790|Techno Visor|999|NoSeed, Dropless|Clothing|47FF2D|5C5C5C|0|3600|Face
3791|Techno Visor Seed|999|NoSeed|Seed|000000|000000|20|0|None
3792|Glowstick|999|NoSeed, Dropless|Clothing|EBFFF9|0ED861|0|3600|Hand
3793|Glowstick Seed|999|NoSeed|Seed|000000|000000|20|0|None
3794|Display Shelf|78|Wrenchable|Display_Shelf|B27642|6B4D33|6|476892|None
3795|Display Shelf Seed|78|0|Seed|000000|000000|20|0|None
3796|One-Way Block|23|MultiFacing|Foreground_Block|85D7E7|4BDE28|6|12857|None
3797|One-Way Block Seed|23|0|Seed|000000|000000|20|0|None
3798|VIP Entrance|999|MultiFacing, Wrenchable, NoSeed, Permanent, Dropless, WorldLock, AutoPickup|VIP|303030|FFF559|6|3600|None
3799|VIP Entrance Seed|999|NoSeed|Seed|000000|000000|20|0|None
3800|Rhino Horn|999|NoSeed, Dropless|Clothing|ACACAC|E2E2E2|0|3600|Hat
3801|Rhino Horn Seed|999|NoSeed|Seed|000000|000000|20|0|None
3802|Globe|999|MultiFacing, Wrenchable, NoSeed, Dropless|Foreground_Block|4D81D1|56CF49|6|3600|None
3803|Globe Seed|999|NoSeed|Seed|000000|000000|20|0|None
3804|Challenge Timer|999|Wrenchable, NoSeed, Dropless, WorldLock|Chal_Timer|B1DEE7|DDBF1B|12|3600|None
3805|Challenge Timer Seed|999|NoSeed|Seed|000000|000000|20|0|None
3806|Challenge Start Flag|999|Wrenchable, NoSeed, Dropless, WorldLock|Chal_Flag|DDBF1B|3C81C4|6|3600|None
3807|Challenge Start Flag Seed|999|NoSeed|Seed|000000|000000|20|0|None
3808|Challenge End Flag|999|Wrenchable, NoSeed, Dropless, WorldLock|Chal_Flag|DDBF1B|CFCFCF|6|3600|None
3809|Challenge End Flag Seed|999|NoSeed|Seed|000000|000000|20|0|None
3810|Fish Wall Mount|999|MultiFacing, Wrenchable, NoSeed, Dropless|Fish_Mount|855F3D|FFC53F|6|3600|None
3811|Fish Wall Mount Seed|999|NoSeed|Seed|000000|000000|20|0|None
3812|Octopus Head|999|NoSeed, Dropless|Clothing|D8A9F5|973CD0|0|3600|Hat
3813|Octopus Head Seed|999|NoSeed|Seed|000000|000000|20|0|None
3814|Stonefish|999|NoSeed, Dropless|Fish|AFAFAF|C78B8B|6|3600|None
3815|Stonefish Seed|999|NoSeed|Seed|000000|000000|20|0|None
3816|Tamago Sushi|999|NoSeed, Dropless|Consummable|D0CCC2|F4E57E|4|3600|None
3817|Tamago Sushi Seed|999|NoSeed|Seed|000000|000000|20|0|None
3818|Portrait|999|MultiFacing, Wrenchable, NoSeed, Dropless|Portrait|90C7CE|C45F0E|6|3600|None
3819|Portrait Seed|999|NoSeed|Seed|000000|000000|20|0|None
3820|Orca|999|NoSeed, Dropless|Fish|333333|CFCFCF|6|3600|None
3821|Orca Seed|999|NoSeed|Seed|000000|000000|20|0|None
3822|Red Hair Dye|33|0|Consummable|E62032|83D1D5|4|36927|None
3823|Red Hair Dye Seed|33|0|Seed|000000|000000|20|0|None
3824|Green Hair Dye|34|0|Consummable|4BE620|83D1D5|4|40324|None
3825|Green Hair Dye Seed|34|0|Seed|000000|000000|20|0|None
3826|Blue Hair Dye|44|0|Consummable|20A5E6|83D1D5|4|86504|None
3827|Blue Hair Dye Seed|44|0|Seed|000000|000000|20|0|None
3828|Black Hair Dye|62|0|Consummable|2D2D2D|83D1D5|4|240188|None
3829|Black Hair Dye Seed|62|0|Seed|000000|000000|20|0|None
3830|Shampoo|22|0|Consummable|ED9715|B4E741|4|11308|None
3831|Shampoo Seed|22|0|Seed|000000|000000|20|0|None
3832|Weather Machine - Stuff|999|Wrenchable, NoSeed, Permanent, Dropless, AutoPickup|Weather_Machine_S2|83ABD9|FF9342|10|3600|None
3833|Weather Machine - Stuff Seed|999|NoSeed|Seed|000000|000000|20|0|None
3834|Beehive|52|0|Spike|F1DA5B|C2991E|4|142168|None
3835|Beehive Seed|52|0|Seed|000000|000000|20|0|None
3836|Honey|999|NoSeed, Dropless|Consummable|E2C730|9ED4D1|4|3600|None
3837|Honey Seed|999|NoSeed|Seed|000000|000000|20|0|None
3838|Sorcerer Stone|87|0|Foreground_Block|707070|FF1313|8|661113|None
3839|Sorcerer Stone Seed|87|0|Seed|000000|000000|20|0|None
3840|Villain Portrait - The Harvester|999|MultiFacing, NoSeed, Dropless|Background_Block|C0AB9C|9C4000|4|3600|None
3841|Villain Portrait - The Harvester Seed|999|NoSeed|Seed|000000|000000|20|0|None
3842|Cosmic Power - Life Harvest|999|MultiFacing, NoSeed, Dropless|Foreground_Block|6F1A86|EFAFFF|8|3600|None
3843|Cosmic Power - Life Harvest Seed|999|NoSeed|Seed|000000|000000|20|0|None
3844|Super Shirt - Autumn|999|NoSeed|Clothing|983F00|FFC411|0|3600|Shirt
3845|Super Shirt - Autumn Seed|999|NoSeed|Seed|000000|000000|20|0|None
3846|Muscle Shirt - Autumn|999|NoSeed|Clothing|983F00|FFC411|0|3600|Shirt
3847|Muscle Shirt - Autumn Seed|999|NoSeed|Seed|000000|000000|20|0|None
3848|Heroic Tights - Autumn|999|NoSeed|Clothing|983F00|FFC411|0|3600|Pants
3849|Heroic Tights - Autumn Seed|999|NoSeed|Seed|000000|000000|20|0|None
3850|Super Tights - Autumn|999|NoSeed|Clothing|983F00|FFC411|0|3600|Pants
3851|Super Tights - Autumn Seed|999|NoSeed|Seed|000000|000000|20|0|None
3852|Heroic Boots - Autumn|999|NoSeed, Foreground|Clothing|983F00|FFC411|0|3600|Feet
3853|Heroic Boots - Autumn Seed|999|NoSeed|Seed|000000|000000|20|0|None
3854|Superhero Mask - Autumn|999|NoSeed|Clothing|983F00|FFC411|0|3600|Hair
3855|Superhero Mask - Autumn Seed|999|NoSeed|Seed|000000|000000|20|0|None
3856|Crimefighter Mask - Autumn|999|NoSeed|Clothing|983F00|FFC411|0|3600|Hair
3857|Crimefighter Mask - Autumn Seed|999|NoSeed|Seed|000000|000000|20|0|None
3858|Super Cape - Autumn|999|NoSeed|Clothing|983F00|FFC411|0|3600|Back
3859|Super Cape - Autumn Seed|999|NoSeed|Seed|000000|000000|20|0|None
3860|Superheroine Top - Autumn|999|NoSeed|Clothing|983F00|FFC411|0|3600|Shirt
3861|Superheroine Top - Autumn Seed|999|NoSeed|Seed|000000|000000|20|0|None
3862|Super Eye Mask - Autumn|999|NoSeed|Clothing|983F00|FFC411|0|3600|Face
3863|Super Eye Mask - Autumn Seed|999|NoSeed|Seed|000000|000000|20|0|None
3864|Super Logo - Leaf|999|NoSeed, Dropless|Clothing|C8C8C8|282828|0|3600|Chest
3865|Super Logo - Leaf Seed|999|NoSeed|Seed|000000|000000|20|0|None
3866|Harvest Witch Mask|999|NoSeed, Dropless|Clothing|413321|FF402D|0|3600|Face
3867|Harvest Witch Mask Seed|999|NoSeed|Seed|000000|000000|20|0|None
3868|Harvest Horn|999|NoSeed, Dropless|Consummable|CD996B|715135|3|3600|None
3869|Harvest Horn Seed|999|NoSeed|Seed|000000|000000|20|0|None
3870|Ancestor Mooncake|999|NoSeed, Dropless|Consummable|A7D9DA|FFEDBE|3|3600|None
3871|Ancestor Mooncake Seed|999|NoSeed|Seed|000000|000000|20|0|None
3872|Blue Hanbok Top|999|NoSeed, Dropless|Clothing|69B2FF|E5321B|0|3600|Shirt
3873|Blue Hanbok Top Seed|999|NoSeed|Seed|000000|000000|20|0|None
3874|Orange Hanbok Top|999|NoSeed, Dropless|Clothing|FF8D00|20AEC0|0|3600|Shirt
3875|Orange Hanbok Top Seed|999|NoSeed|Seed|000000|000000|20|0|None
3876|Blue Hanbok Pants|999|NoSeed, Dropless|Clothing|69B2FF|E5321B|0|3600|Pants
3877|Blue Hanbok Pants Seed|999|NoSeed|Seed|000000|000000|20|0|None
3878|Orange Hanbok Pants|999|NoSeed, Dropless|Clothing|FF8D00|20AEC0|0|3600|Pants
3879|Orange Hanbok Pants Seed|999|NoSeed|Seed|000000|000000|20|0|None
3880|Green Hanbok Skirt|999|NoSeed, Dropless|Clothing|CDE8C4|FF7F00|0|3600|Pants
3881|Green Hanbok Skirt Seed|999|NoSeed|Seed|000000|000000|20|0|None
3882|Yellow Hanbok Skirt|999|NoSeed, Dropless|Clothing|FFE615|FC48A5|0|3600|Pants
3883|Yellow Hanbok Skirt Seed|999|NoSeed|Seed|000000|000000|20|0|None
3884|Sunflower Hair Pin|999|NoSeed, Dropless|Clothing|FFEF6D|35271D|0|3600|Hat
3885|Sunflower Hair Pin Seed|999|NoSeed|Seed|000000|000000|20|0|None
3886|Lil' Sheepers|999|NoSeed, Dropless|Clothing|EFEBE3|696969|0|3600|Hand
3887|Lil' Sheepers Seed|999|NoSeed|Seed|000000|000000|20|0|None
3888|Sheep|999|MultiFacing, NoSeed, Dropless|Provider|EFEBE3|696969|6|3600|None
3889|Sheep Seed|999|NoSeed|Seed|000000|000000|20|0|None
3890|Wool|999|NoSeed, Dropless|Consummable|EFEBE3|C1BAAB|4|3600|None
3891|Wool Seed|999|NoSeed|Seed|000000|000000|20|0|None
3892|Wool Bolt|999|NoSeed, Dropless|Consummable|DCD5C8|EFEBE3|4|3600|None
3893|Wool Bolt Seed|999|NoSeed|Seed|000000|000000|20|0|None
3894|Harvest Robinsons|999|NoSeed, Dropless|Clothing|F2A706|F24806|0|3600|Feet
3895|Harvest Robinsons Seed|999|NoSeed|Seed|000000|000000|20|0|None
3896|Silkworm Soul|999|NoSeed, Dropless|Consummable|2D4748|C9DEDE|4|3600|None
3897|Silkworm Soul Seed|999|NoSeed|Seed|000000|000000|20|0|None
3898|Telephone|42|Wrenchable|Foreground_Block|2D8A9F|FFE33F|5|75348|None
3899|Telephone Seed|42|0|Seed|000000|000000|20|0|None
3900|Wooden Sword|105|NoSeed|Clothing|84744E|4E8C46|0|1160775|Hand
3901|Wooden Sword Seed|105|NoSeed|Seed|000000|000000|20|0|None
3902|Crazy Jim|999|NoSeed, Dropless, Beta, Mod|Foreground_Block|2D8A9F|FFE33F|5|3600|None
3903|Crazy Jim Seed|999|NoSeed, Mod|Seed|000000|000000|20|0|None
3904|Code Block: Kappa|999|MultiFacing, NoSeed, Dropless|Foreground_Block|F8FDCF|885F2A|5|3600|None
3905|Code Block: Kappa Seed|999|NoSeed|Seed|000000|000000|20|0|None
3906|Code Block: Charlie|999|MultiFacing, NoSeed, Dropless|Foreground_Block|F8FDCF|885F2A|5|3600|None
3907|Code Block: Charlie Seed|999|NoSeed|Seed|000000|000000|20|0|None
3908|Code Block: Ouroboros|999|MultiFacing, NoSeed, Dropless|Foreground_Block|F8FDCF|885F2A|5|3600|None
3909|Code Block: Ouroboros Seed|999|NoSeed|Seed|000000|000000|20|0|None
3910|Code Block: Edamame|999|MultiFacing, NoSeed, Dropless|Foreground_Block|F8FDCF|885F2A|5|3600|None
3911|Code Block: Edamame Seed|999|NoSeed|Seed|000000|000000|20|0|None
3912|Wool Scarf|999|NoSeed, Dropless|Clothing|E2DCD0|B3A999|0|3600|Chest
3913|Wool Scarf Seed|999|NoSeed|Seed|000000|000000|20|0|None
3914|Sheep Shears|999|NoSeed, Dropless|Clothing|AC5334|4D4D4D|0|3600|Hand
3915|Sheep Shears Seed|999|NoSeed|Seed|000000|000000|20|0|None
3916|Illuminati Stone|999|NoSeed, Dropless|Foreground_Block|819EC3|864620|12|3600|None
3917|Illuminati Stone Seed|999|NoSeed|Seed|000000|000000|20|0|None
3918|Fossil Rock|999|NoSeed|Fossil|808080|C8C8C8|10|3600|None
3919|Fossil Rock Seed|999|NoSeed|Seed|000000|000000|20|0|None
3920|Fossil Boulder|999|NoSeed|Fossil|C08B00|E7D276|10|3600|None
3921|Fossil Boulder Seed|999|NoSeed|Seed|000000|000000|20|0|None
3922|Deep Fossil Rock|999|NoSeed|Fossil|5C7F3B|144C00|10|3600|None
3923|Deep Fossil Rock Seed|999|NoSeed|Seed|000000|000000|20|0|None
3924|Fossilroid|999|MultiFacing, NoSeed|Fossil|C2CDB8|7C9368|10|3600|None
3925|Fossilroid Seed|999|NoSeed|Seed|000000|000000|20|0|None
3926|Alien Fossil Rock|999|NoSeed|Fossil|E81404|A10604|10|3600|None
3927|Alien Fossil Rock Seed|999|NoSeed|Seed|000000|000000|20|0|None
3928|Igneous Fossil Rock|999|NoSeed|Fossil|2A4063|D3DCE7|10|3600|None
3929|Igneous Fossil Rock Seed|999|NoSeed|Seed|000000|000000|20|0|None
3930|Igneous Rock|22|0|Foreground_Block|2A4063|D3DCE7|10|11308|None
3931|Igneous Rock Seed|22|0|Seed|000000|000000|20|0|None
3932|Rock Hammer|16|NoSeed|Clothing|DAA61A|D9D9D9|0|4576|Hand
3933|Rock Hammer Seed|16|NoSeed|Seed|000000|000000|20|0|None
3934|Rock Chisel|21|NoSeed|Clothing|DAA61A|D9D9D9|0|9891|Hand
3935|Rock Chisel Seed|21|NoSeed|Seed|000000|000000|20|0|None
3936|Fossil|999|NoSeed, Dropless|Consummable|BEBAAC|7B786F|10|3600|None
3937|Fossil Seed|999|NoSeed|Seed|000000|000000|20|0|None
3938|Fossil Prep Station|999|NoSeed, Permanent, Dropless, WorldLock, AutoPickup|Fossil_Prep_Station|C1DFE3|81A959|12|3600|None
3939|Fossil Prep Station Seed|999|NoSeed|Seed|000000|000000|20|0|None
3940|Ammonite Block|999|MultiFacing, NoSeed, Dropless|Foreground_Block|DAC894|7C6730|8|3600|None
3941|Ammonite Block Seed|999|NoSeed|Seed|000000|000000|20|0|None
3942|Dino Ribcage|999|MultiFacing, NoSeed, Dropless|Platform|DBE3E3|979D9D|6|3600|None
3943|Dino Ribcage Seed|999|NoSeed|Seed|000000|000000|20|0|None
3944|Dinosaur Mask|999|NoSeed, Dropless|Clothing|3A992D|FFFFFF|0|3600|Hair
3945|Dinosaur Mask Seed|999|NoSeed|Seed|000000|000000|20|0|None
3946|Ancient Plant Seed|999|NoSeed, Dropless|Component|B5BC9C|707759|10|3600|None
3947|Ancient Plant Seed Seed|999|NoSeed|Seed|000000|000000|20|0|None
3948|Amber Block|999|NoSeed, Dropless|Foreground_Block|FFCE15|8E1001|7|3600|None
3949|Amber Block Seed|999|NoSeed|Seed|000000|000000|20|0|None
3950|T-Rex Skull|999|MultiFacing, NoSeed, Dropless|Platform|DBE3E3|979D9D|7|3600|None
3951|T-Rex Skull Seed|999|NoSeed|Seed|000000|000000|20|0|None
3952|Red Pet Pteranodon|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3953|Red Pet Pteranodon Seed|999|NoSeed|Seed|000000|000000|20|0|None
3954|Red Pet Pterosaurus|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3955|Red Pet Pterosaurus Seed|999|NoSeed|Seed|000000|000000|20|0|None
3956|Red Pet Pteranus Rex|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3957|Red Pet Pteranus Rex Seed|999|NoSeed|Seed|000000|000000|20|0|None
3958|Red Pet Pteratops|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3959|Red Pet Pteratops Seed|999|NoSeed|Seed|000000|000000|20|0|None
3960|Red Pet Apatodon|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3961|Red Pet Apatodon Seed|999|NoSeed|Seed|000000|000000|20|0|None
3962|Red Pet Apatosaurus|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3963|Red Pet Apatosaurus Seed|999|NoSeed|Seed|000000|000000|20|0|None
3964|Red Pet Apatos Rex|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3965|Red Pet Apatos Rex Seed|999|NoSeed|Seed|000000|000000|20|0|None
3966|Red Pet Apatoceratops|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3967|Red Pet Apatoceratops Seed|999|NoSeed|Seed|000000|000000|20|0|None
3968|Red Pet Tyranodon|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3969|Red Pet Tyranodon Seed|999|NoSeed|Seed|000000|000000|20|0|None
3970|Red Pet Tyranopatos|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3971|Red Pet Tyranopatos Seed|999|NoSeed|Seed|000000|000000|20|0|None
3972|Red Pet Tyrannosaurus|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3973|Red Pet Tyrannosaurus Seed|999|NoSeed|Seed|000000|000000|20|0|None
3974|Red Pet Tyranotops|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3975|Red Pet Tyranotops Seed|999|NoSeed|Seed|000000|000000|20|0|None
3976|Red Pet Triceradon|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3977|Red Pet Triceradon Seed|999|NoSeed|Seed|000000|000000|20|0|None
3978|Red Pet Tripatosaurus|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3979|Red Pet Tripatosaurus Seed|999|NoSeed|Seed|000000|000000|20|0|None
3980|Red Pet Tricerus Rex|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3981|Red Pet Tricerus Rex Seed|999|NoSeed|Seed|000000|000000|20|0|None
3982|Red Pet Triceratops|999|NoSeed, Dropless|Clothing|FF3232|8C1414|0|3600|Hand
3983|Red Pet Triceratops Seed|999|NoSeed|Seed|000000|000000|20|0|None
3984|Green Pet Pteranodon|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
3985|Green Pet Pteranodon Seed|999|NoSeed|Seed|000000|000000|20|0|None
3986|Green Pet Pterosaurus|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
3987|Green Pet Pterosaurus Seed|999|NoSeed|Seed|000000|000000|20|0|None
3988|Green Pet Pteranus Rex|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
3989|Green Pet Pteranus Rex Seed|999|NoSeed|Seed|000000|000000|20|0|None
3990|Green Pet Pteratops|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
3991|Green Pet Pteratops Seed|999|NoSeed|Seed|000000|000000|20|0|None
3992|Green Pet Apatodon|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
3993|Green Pet Apatodon Seed|999|NoSeed|Seed|000000|000000|20|0|None
3994|Green Pet Apatosaurus|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
3995|Green Pet Apatosaurus Seed|999|NoSeed|Seed|000000|000000|20|0|None
3996|Green Pet Apatos Rex|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
3997|Green Pet Apatos Rex Seed|999|NoSeed|Seed|000000|000000|20|0|None
3998|Green Pet Apatoceratops|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
3999|Green Pet Apatoceratops Seed|999|NoSeed|Seed|000000|000000|20|0|None
4000|Green Pet Tyranodon|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
4001|Green Pet Tyranodon Seed|999|NoSeed|Seed|000000|000000|20|0|None
4002|Green Pet Tyranopatos|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
4003|Green Pet Tyranopatos Seed|999|NoSeed|Seed|000000|000000|20|0|None
4004|Green Pet Tyrannosaurus|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
4005|Green Pet Tyrannosaurus Seed|999|NoSeed|Seed|000000|000000|20|0|None
4006|Green Pet Tyranotops|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
4007|Green Pet Tyranotops Seed|999|NoSeed|Seed|000000|000000|20|0|None
4008|Green Pet Triceradon|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
4009|Green Pet Triceradon Seed|999|NoSeed|Seed|000000|000000|20|0|None
4010|Green Pet Tripatosaurus|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
4011|Green Pet Tripatosaurus Seed|999|NoSeed|Seed|000000|000000|20|0|None
4012|Green Pet Tricerus Rex|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
4013|Green Pet Tricerus Rex Seed|999|NoSeed|Seed|000000|000000|20|0|None
4014|Green Pet Triceratops|999|NoSeed, Dropless|Clothing|3CC828|148C14|0|3600|Hand
4015|Green Pet Triceratops Seed|999|NoSeed|Seed|000000|000000|20|0|None
4016|Brown Pet Pteranodon|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4017|Brown Pet Pteranodon Seed|999|NoSeed|Seed|000000|000000|20|0|None
4018|Brown Pet Pterosaurus|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4019|Brown Pet Pterosaurus Seed|999|NoSeed|Seed|000000|000000|20|0|None
4020|Brown Pet Pteranus Rex|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4021|Brown Pet Pteranus Rex Seed|999|NoSeed|Seed|000000|000000|20|0|None
4022|Brown Pet Pteratops|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4023|Brown Pet Pteratops Seed|999|NoSeed|Seed|000000|000000|20|0|None
4024|Brown Pet Apatodon|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4025|Brown Pet Apatodon Seed|999|NoSeed|Seed|000000|000000|20|0|None
4026|Brown Pet Apatosaurus|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4027|Brown Pet Apatosaurus Seed|999|NoSeed|Seed|000000|000000|20|0|None
4028|Brown Pet Apatos Rex|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4029|Brown Pet Apatos Rex Seed|999|NoSeed|Seed|000000|000000|20|0|None
4030|Brown Pet Apatoceratops|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4031|Brown Pet Apatoceratops Seed|999|NoSeed|Seed|000000|000000|20|0|None
4032|Brown Pet Tyranodon|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4033|Brown Pet Tyranodon Seed|999|NoSeed|Seed|000000|000000|20|0|None
4034|Brown Pet Tyranopatos|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4035|Brown Pet Tyranopatos Seed|999|NoSeed|Seed|000000|000000|20|0|None
4036|Brown Pet Tyrannosaurus|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4037|Brown Pet Tyrannosaurus Seed|999|NoSeed|Seed|000000|000000|20|0|None
4038|Brown Pet Tyranotops|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4039|Brown Pet Tyranotops Seed|999|NoSeed|Seed|000000|000000|20|0|None
4040|Brown Pet Triceradon|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4041|Brown Pet Triceradon Seed|999|NoSeed|Seed|000000|000000|20|0|None
4042|Brown Pet Tripatosaurus|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4043|Brown Pet Tripatosaurus Seed|999|NoSeed|Seed|000000|000000|20|0|None
4044|Brown Pet Tricerus Rex|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4045|Brown Pet Tricerus Rex Seed|999|NoSeed|Seed|000000|000000|20|0|None
4046|Brown Pet Triceratops|999|NoSeed, Dropless|Clothing|A0793C|553E1B|0|3600|Hand
4047|Brown Pet Triceratops Seed|999|NoSeed|Seed|000000|000000|20|0|None
